empty,InChI,MonoisotopicMass,Identifier
,"InChI=1S/C7H6BrF3N2/c1-2-4-5(7(9,10)11)12-3-13-6(4)8/h3H,2H2,1H3",253.966645,83399178
,"InChI=1S/C7H6BrF3N2/c1-2-5-4(8)3-12-6(13-5)7(9,10)11/h3H,2H2,1H3",253.966645,82374755
,"InChI=1S/C7H6BrF3N2/c1-2-5-12-3-4(8)6(13-5)7(9,10)11/h3H,2H2,1H3",253.966645,82374750
,"InChI=1S/C7H6BrF3N2/c8-5-3-13-6(7(9,10)11)1-4(5)2-12/h1,3H,2,12H2",253.966645,74892161
,"InChI=1S/C7H6BrF3N2/c8-6-2-4(3-12)1-5(13-6)7(9,10)11/h1-2H,3,12H2",253.966645,72216134
,"InChI=1S/C7H6BrF3N2/c8-6-2-4(7(9,10)11)1-5(3-12)13-6/h1-2H,3,12H2",253.966645,72215965
,"InChI=1S/C7H6BrF3N2/c8-5-1-4(2-12)6(13-3-5)7(9,10)11/h1,3H,2,12H2",253.966645,72213026
,"InChI=1S/C7H6BrF3N2/c8-2-1-5-3-13-6(4-12-5)7(9,10)11/h3-4H,1-2H2",253.966645,72212630
,"InChI=1S/C7H6BrF3N2/c8-4-1-5(3-12)13-6(2-4)7(9,10)11/h1-2H,3,12H2",253.966645,72212528
,"InChI=1S/C7H6BrF3N2/c8-6-4(2-1-3-13-6)5(12)7(9,10)11/h1-3,5H,12H2",253.966645,72210070
,"InChI=1S/C7H6BrF3N2/c8-5-3-1-2-4(13-5)6(12)7(9,10)11/h1-3,6H,12H2",253.966645,72209974
,"InChI=1S/C7H6BrF3N2/c1-12-6-2-4(7(9,10)11)5(8)3-13-6/h2-3H,1H3,(H,12,13)",253.966645,70822410
,"InChI=1S/C7H6BrF3N2/c8-6-4(13)2-1-3(12)5(6)7(9,10)11/h1-2H,12-13H2",253.966645,70433756
,"InChI=1S/C7H6BrF3N2/c8-4-1-2-5(7(9,10)11)6(3-4)13-12/h1-3,13H,12H2",253.966645,69160772
,"InChI=1S/C7H6BrF3N2/c8-6-3-4(13-12)1-2-5(6)7(9,10)11/h1-3,13H,12H2",253.966645,68714321
,"InChI=1S/C7H6BrF3N2/c1-12-6-5(8)2-4(3-13-6)7(9,10)11/h2-3H,1H3,(H,12,13)",253.966645,67981323
,"InChI=1S/C7H6BrF3N2/c8-5-2-3(12)1-4(6(5)13)7(9,10)11/h1-2H,12-13H2",253.966645,67407678
,"InChI=1S/C7H6BrF3N2/c1-12-6-5(7(9,10)11)2-4(8)3-13-6/h2-3H,1H3,(H,12,13)",253.966645,67266336
,"InChI=1S/C7H6BrF3N2/c8-4-1-5(7(9,10)11)6(2-12)13-3-4/h1,3H,2,12H2",253.966645,67266335
,"InChI=1S/C7H6BrF3N2/c8-2-1-5-3-12-6(13-4-5)7(9,10)11/h3-4H,1-2H2",253.966645,66911660
